code,name_en,description_en,full_text_en,zh_description,zh_full_text
18.9.20.1.4,,,,Ensure ''Turn off Internet Connection Wizard if URL connection' -> 'referring to Microsoft.com' is set to 'Enabled'' (待翻譯),18.9.20.1.4 (L2) Ensure ''Turn off Internet Connection Wizard if URL connection' -> 'referring to Microsoft.com' is set to 'Enabled'' (待翻譯)
18.9.20.1.5,,,,Ensure 'Turn off Internet download for Web publishing and online ordering wizards' -> 'Enabled' (待翻譯),18.9.20.1.5 (L1) Ensure 'Turn off Internet download for Web publishing and online ordering wizards' -> 'Enabled' (待翻譯)
18.9.20.1.6,,,,Ensure 'Turn off printing over HTTP' -> 'Enabled' (待翻譯),18.9.20.1.6 (L2) Ensure 'Turn off printing over HTTP' -> 'Enabled' (待翻譯)
18.9.20.1.7,,,,Ensure ''Turn off Registration if URL connection' -> 'referring to Microsoft.com' is set to 'Enabled'' (待翻譯),18.9.20.1.7 (L2) Ensure ''Turn off Registration if URL connection' -> 'referring to Microsoft.com' is set to 'Enabled'' (待翻譯)
18.9.20.1.8,,,,Ensure 'Turn off Search Companion content file updates' -> 'Enabled' (待翻譯),18.9.20.1.8 (L2) Ensure 'Turn off Search Companion content file updates' -> 'Enabled' (待翻譯)
18.9.20.1.9,,,,"Ensure 'Turn off the ""Order Prints"" picture task' -> 'Enabled' (待翻譯)","18.9.20.1.9 (L2) Ensure 'Turn off the ""Order Prints"" picture task' -> 'Enabled' (待翻譯)"
18.9.20.1.10,,,,"Ensure 'Turn off the ""Publish to Web"" task for files and folders' -> 'Enabled' (待翻譯)","18.9.20.1.10 (L2) Ensure 'Turn off the ""Publish to Web"" task for files and folders' -> 'Enabled' (待翻譯)"
18.9.20.1.11,,,,Ensure 'Turn off the Windows Messenger Customer Experience Improvement Program' -> 'Enabled' (待翻譯),18.9.20.1.11 (L2) Ensure 'Turn off the Windows Messenger Customer Experience Improvement Program' -> 'Enabled' (待翻譯)
18.9.20.1.12,,,,Ensure 'Turn off Windows Customer Experience Improvement Program' -> 'Enabled' (待翻譯),18.9.20.1.12 (L2) Ensure 'Turn off Windows Customer Experience Improvement Program' -> 'Enabled' (待翻譯)
18.9.20.1.13,,,,Ensure 'Turn off Windows Error Reporting' -> 'Enabled' (待翻譯),18.9.20.1.13 (L2) Ensure 'Turn off Windows Error Reporting' -> 'Enabled' (待翻譯)
18.9.23.1,,,,Ensure 'Support device authentication using certificate' -> 'Enabled: Automatic' (待翻譯),18.9.23.1 (L2) Ensure 'Support device authentication using certificate' -> 'Enabled: Automatic' (待翻譯)
18.9.24.1,,,,Ensure 'Enumeration policy for external devices incompatible with Kernel DMA Protection' -> 'Enabled: Block All' (待翻譯),18.9.24.1 (L1) Ensure 'Enumeration policy for external devices incompatible with Kernel DMA Protection' -> 'Enabled: Block All' (待翻譯)
18.9.25.1,,,,Ensure 'Configure password backup directory' -> 'Enabled: Active Directory' or 'Enabled: Azure Active Directory' (待翻譯),18.9.25.1 (L1) Ensure 'Configure password backup directory' -> 'Enabled: Active Directory' or 'Enabled: Azure Active Directory' (待翻譯)
18.9.25.2,,,,Ensure 'Do not allow password expiration time longer than required by policy' -> 'Enabled' (待翻譯),18.9.25.2 (L1) Ensure 'Do not allow password expiration time longer than required by policy' -> 'Enabled' (待翻譯)
18.9.25.3,,,,Ensure 'Enable password encryption' -> 'Enabled' (待翻譯),18.9.25.3 (L1) Ensure 'Enable password encryption' -> 'Enabled' (待翻譯)
18.9.25.4,,,,Ensure 'Password Settings: Password Complexity' -> 'Enabled: Large letters + small letters + numbers + special characters' (待翻譯),18.9.25.4 (L1) Ensure 'Password Settings: Password Complexity' -> 'Enabled: Large letters + small letters + numbers + special characters' (待翻譯)
18.9.25.5,,,,Ensure 'Password Settings: Password Length' -> 'Enabled: 15 or more' (待翻譯),18.9.25.5 (L1) Ensure 'Password Settings: Password Length' -> 'Enabled: 15 or more' (待翻譯)
18.9.25.6,,,,Ensure 'Password Settings: Password Age (Days)' -> 'Enabled: 30 or fewer' (待翻譯),18.9.25.6 (L1) Ensure 'Password Settings: Password Age (Days)' -> 'Enabled: 30 or fewer' (待翻譯)
18.9.25.7,,,,"Ensure 'Post-authentication actions: Grace period (hours)' -> 'Enabled: 8 or fewer hours, but not 0' (待翻譯)","18.9.25.7 (L1) Ensure 'Post-authentication actions: Grace period (hours)' -> 'Enabled: 8 or fewer hours, but not 0' (待翻譯)"
18.9.25.8,,,,Ensure 'Post-authentication actions: Actions' -> ''Enabled: Reset the password and logoff the managed account' or higher' (待翻譯),18.9.25.8 (L1) Ensure 'Post-authentication actions: Actions' -> ''Enabled: Reset the password and logoff the managed account' or higher' (待翻譯)
18.9.26.1,,,,Ensure ''Allow Custom SSPs and APs to' -> 'loaded into LSASS' is set to 'Disabled'' (待翻譯),18.9.26.1 (L1) Ensure ''Allow Custom SSPs and APs to' -> 'loaded into LSASS' is set to 'Disabled'' (待翻譯)
18.9.27.1,,,,Ensure 'Disallow copying of user input methods to the system account for sign-in' -> 'Enabled' (待翻譯),18.9.27.1 (L2) Ensure 'Disallow copying of user input methods to the system account for sign-in' -> 'Enabled' (待翻譯)
18.9.28.1,,,,Ensure 'Block user from showing account details on sign-in' -> 'Enabled' (待翻譯),18.9.28.1 (L1) Ensure 'Block user from showing account details on sign-in' -> 'Enabled' (待翻譯)
18.9.28.2,,,,Ensure 'Do not display network selection UI' -> 'Enabled' (待翻譯),18.9.28.2 (L1) Ensure 'Do not display network selection UI' -> 'Enabled' (待翻譯)
18.9.28.3,,,,Ensure 'Do not enumerate connected users on domain-joined computers' -> 'Enabled' (待翻譯),18.9.28.3 (L1) Ensure 'Do not enumerate connected users on domain-joined computers' -> 'Enabled' (待翻譯)
18.9.28.4,,,,Ensure 'Enumerate local users on domain-joined computers' -> 'Disabled' (待翻譯),18.9.28.4 (L1) Ensure 'Enumerate local users on domain-joined computers' -> 'Disabled' (待翻譯)
18.9.28.5,,,,Ensure 'Turn off app notifications on the lock screen' -> 'Enabled' (待翻譯),18.9.28.5 (L1) Ensure 'Turn off app notifications on the lock screen' -> 'Enabled' (待翻譯)
18.9.28.6,,,,Ensure 'Turn off picture password sign-in' -> 'Enabled' (待翻譯),18.9.28.6 (L1) Ensure 'Turn off picture password sign-in' -> 'Enabled' (待翻譯)
18.9.28.7,,,,Ensure 'Turn on convenience PIN sign-in' -> 'Disabled' (待翻譯),18.9.28.7 (L1) Ensure 'Turn on convenience PIN sign-in' -> 'Disabled' (待翻譯)
18.9.31.1,,,,Ensure 'Allow Clipboard synchronization across devices' -> 'Disabled' (待翻譯),18.9.31.1 (L2) Ensure 'Allow Clipboard synchronization across devices' -> 'Disabled' (待翻譯)
18.9.31.2,,,,Ensure 'Allow upload of User Activities' -> 'Disabled' (待翻譯),18.9.31.2 (L2) Ensure 'Allow upload of User Activities' -> 'Disabled' (待翻譯)
18.9.33.6.1,,,,Ensure 'Allow network connectivity during connected-standby (on battery)' -> 'Disabled' (待翻譯),18.9.33.6.1 (L2) Ensure 'Allow network connectivity during connected-standby (on battery)' -> 'Disabled' (待翻譯)
18.9.33.6.2,,,,Ensure 'Allow network connectivity during connected-standby (plugged in)' -> 'Disabled' (待翻譯),18.9.33.6.2 (L2) Ensure 'Allow network connectivity during connected-standby (plugged in)' -> 'Disabled' (待翻譯)
18.9.33.6.3,,,,Ensure 'Require a password when a computer wakes (on battery)' -> 'Enabled' (待翻譯),18.9.33.6.3 (L1) Ensure 'Require a password when a computer wakes (on battery)' -> 'Enabled' (待翻譯)
18.9.33.6.4,,,,Ensure 'Require a password when a computer wakes (plugged in)' -> 'Enabled' (待翻譯),18.9.33.6.4 (L1) Ensure 'Require a password when a computer wakes (plugged in)' -> 'Enabled' (待翻譯)
18.9.35.1,,,,Ensure 'Configure Offer Remote Assistance' -> 'Disabled' (待翻譯),18.9.35.1 (L1) Ensure 'Configure Offer Remote Assistance' -> 'Disabled' (待翻譯)
18.9.35.2,,,,Ensure 'Configure Solicited Remote Assistance' -> 'Disabled' (待翻譯),18.9.35.2 (L1) Ensure 'Configure Solicited Remote Assistance' -> 'Disabled' (待翻譯)
18.9.36.1,,,,Ensure 'Enable RPC Endpoint Mapper Client Authentication' -> 'Enabled' (待翻譯),18.9.36.1 (L1) Ensure 'Enable RPC Endpoint Mapper Client Authentication' -> 'Enabled' (待翻譯)
18.9.36.2,,,,Ensure 'Restrict Unauthenticated RPC clients' -> 'Enabled: Authenticated' (待翻譯),18.9.36.2 (L2) Ensure 'Restrict Unauthenticated RPC clients' -> 'Enabled: Authenticated' (待翻譯)
18.9.39.1,,,,Ensure 'Configure validation of ROCA-vulnerable WHfB keys during authentication' -> ''Enabled: Audit' or higher' (待翻譯),18.9.39.1 (L1) Ensure 'Configure validation of ROCA-vulnerable WHfB keys during authentication' -> ''Enabled: Audit' or higher' (待翻譯)
18.9.47.5.1,,,,Ensure 'Microsoft Support Diagnostic Tool: Turn on MSDT interactive communication with support provider' -> 'Disabled' (待翻譯),18.9.47.5.1 (L2) Ensure 'Microsoft Support Diagnostic Tool: Turn on MSDT interactive communication with support provider' -> 'Disabled' (待翻譯)
18.9.47.11.1,,,,Ensure 'Enable/Disable PerfTrack' -> 'Disabled' (待翻譯),18.9.47.11.1 (L2) Ensure 'Enable/Disable PerfTrack' -> 'Disabled' (待翻譯)
18.9.49.1,,,,Ensure 'Turn off the advertising ID' -> 'Enabled' (待翻譯),18.9.49.1 (L2) Ensure 'Turn off the advertising ID' -> 'Enabled' (待翻譯)
18.9.51.1.1,,,,Ensure 'Enable Windows NTP Client' -> 'Enabled' (待翻譯),18.9.51.1.1 (L1) Ensure 'Enable Windows NTP Client' -> 'Enabled' (待翻譯)
18.9.51.1.2,,,,Ensure 'Enable Windows NTP Server' -> 'Disabled' (待翻譯),18.9.51.1.2 (L1) Ensure 'Enable Windows NTP Server' -> 'Disabled' (待翻譯)
18.10.4.1,,,,Ensure 'Allow a Windows app to share application data between users' -> 'Disabled' (待翻譯),18.10.4.1 (L2) Ensure 'Allow a Windows app to share application data between users' -> 'Disabled' (待翻譯)
18.10.6.1,,,,Ensure 'Allow Microsoft accounts to be optional' -> 'Enabled' (待翻譯),18.10.6.1 (L1) Ensure 'Allow Microsoft accounts to be optional' -> 'Enabled' (待翻譯)
18.10.8.1,,,,Ensure 'Disallow Autoplay for non-volume devices' -> 'Enabled' (待翻譯),18.10.8.1 (L1) Ensure 'Disallow Autoplay for non-volume devices' -> 'Enabled' (待翻譯)
18.10.8.2,,,,Ensure 'Set the default behavior for AutoRun' -> 'Enabled: Do not execute any autorun commands' (待翻譯),18.10.8.2 (L1) Ensure 'Set the default behavior for AutoRun' -> 'Enabled: Do not execute any autorun commands' (待翻譯)
18.10.8.3,,,,Ensure 'Turn off Autoplay' -> 'Enabled: All drives' (待翻譯),18.10.8.3 (L1) Ensure 'Turn off Autoplay' -> 'Enabled: All drives' (待翻譯)
18.10.9.1.1,,,,Ensure 'Configure enhanced anti-spoofing' -> 'Enabled' (待翻譯),18.10.9.1.1 (L1) Ensure 'Configure enhanced anti-spoofing' -> 'Enabled' (待翻譯)
18.10.11.1,,,,Ensure 'Allow Use of Camera' -> 'Disabled' (待翻譯),18.10.11.1 (L2) Ensure 'Allow Use of Camera' -> 'Disabled' (待翻譯)
18.10.13.1,,,,Ensure 'Turn off cloud consumer account state content' -> 'Enabled' (待翻譯),18.10.13.1 (L1) Ensure 'Turn off cloud consumer account state content' -> 'Enabled' (待翻譯)
18.10.13.2,,,,Ensure 'Turn off cloud optimized content' -> 'Enabled' (待翻譯),18.10.13.2 (L2) Ensure 'Turn off cloud optimized content' -> 'Enabled' (待翻譯)
18.10.13.3,,,,Ensure 'Turn off Microsoft consumer experiences' -> 'Enabled' (待翻譯),18.10.13.3 (L1) Ensure 'Turn off Microsoft consumer experiences' -> 'Enabled' (待翻譯)
18.10.14.1,,,,Ensure 'Require pin for pairing' -> 'Enabled: First Time' (待翻譯),18.10.14.1 (L1) Ensure 'Require pin for pairing' -> 'Enabled: First Time' (待翻譯)
18.10.15.1,,,,Ensure 'Do not display the password reveal button' -> 'Enabled' (待翻譯),18.10.15.1 (L1) Ensure 'Do not display the password reveal button' -> 'Enabled' (待翻譯)
18.10.15.2,,,,Ensure 'Enumerate administrator accounts on elevation' -> 'Disabled' (待翻譯),18.10.15.2 (L1) Ensure 'Enumerate administrator accounts on elevation' -> 'Disabled' (待翻譯)
18.10.16.1,,,,Ensure 'Allow Diagnostic Data' -> 'Enabled: Diagnostic data off (not recommended)' or 'Enabled: Send required diagnostic data' (待翻譯),18.10.16.1 (L1) Ensure 'Allow Diagnostic Data' -> 'Enabled: Diagnostic data off (not recommended)' or 'Enabled: Send required diagnostic data' (待翻譯)
18.10.16.2,,,,Ensure 'Configure Authenticated Proxy usage for the Connected User Experience and Telemetry service' -> 'Enabled: Disable Authenticated Proxy usage' (待翻譯),18.10.16.2 (L2) Ensure 'Configure Authenticated Proxy usage for the Connected User Experience and Telemetry service' -> 'Enabled: Disable Authenticated Proxy usage' (待翻譯)
18.10.16.3,,,,Ensure 'Disable OneSettings Downloads' -> 'Enabled' (待翻譯),18.10.16.3 (L1) Ensure 'Disable OneSettings Downloads' -> 'Enabled' (待翻譯)
18.10.16.4,,,,Ensure 'Do not show feedback notifications' -> 'Enabled' (待翻譯),18.10.16.4 (L1) Ensure 'Do not show feedback notifications' -> 'Enabled' (待翻譯)
18.10.16.5,,,,Ensure 'Enable OneSettings Auditing' -> 'Enabled' (待翻譯),18.10.16.5 (L1) Ensure 'Enable OneSettings Auditing' -> 'Enabled' (待翻譯)
18.10.16.6,,,,Ensure 'Limit Diagnostic Log Collection' -> 'Enabled' (待翻譯),18.10.16.6 (L1) Ensure 'Limit Diagnostic Log Collection' -> 'Enabled' (待翻譯)
18.10.16.7,,,,Ensure 'Limit Dump Collection' -> 'Enabled' (待翻譯),18.10.16.7 (L1) Ensure 'Limit Dump Collection' -> 'Enabled' (待翻譯)
18.10.18.1,,,,Ensure 'Enable App Installer' -> 'Disabled' (待翻譯),18.10.18.1 (L2) Ensure 'Enable App Installer' -> 'Disabled' (待翻譯)
18.10.18.2,,,,Ensure 'Enable App Installer Experimental Features' -> 'Disabled' (待翻譯),18.10.18.2 (L1) Ensure 'Enable App Installer Experimental Features' -> 'Disabled' (待翻譯)
18.10.18.3,,,,Ensure 'Enable App Installer Hash Override' -> 'Disabled' (待翻譯),18.10.18.3 (L1) Ensure 'Enable App Installer Hash Override' -> 'Disabled' (待翻譯)
18.10.18.4,,,,Ensure 'Enable App Installer Local Archive Malware Scan Override' -> 'Disabled' (待翻譯),18.10.18.4 (L1) Ensure 'Enable App Installer Local Archive Malware Scan Override' -> 'Disabled' (待翻譯)
18.10.18.5,,,,Ensure 'Enable App Installer ms-appinstaller protocol' -> 'Disabled' (待翻譯),18.10.18.5 (L1) Ensure 'Enable App Installer ms-appinstaller protocol' -> 'Disabled' (待翻譯)
18.10.18.6,,,,Ensure 'Enable App Installer Microsoft Store Source Certificate Validation Bypass' -> 'Disabled' (待翻譯),18.10.18.6 (L1) Ensure 'Enable App Installer Microsoft Store Source Certificate Validation Bypass' -> 'Disabled' (待翻譯)
18.10.18.7,,,,Ensure 'Enable Windows Package Manager command line interfaces' -> 'Disabled' (待翻譯),18.10.18.7 (L2) Ensure 'Enable Windows Package Manager command line interfaces' -> 'Disabled' (待翻譯)
18.10.26.1.1,,,,Ensure 'Application: Control Event Log behavior when the log file reaches its maximum size' -> 'Disabled' (待翻譯),18.10.26.1.1 (L1) Ensure 'Application: Control Event Log behavior when the log file reaches its maximum size' -> 'Disabled' (待翻譯)
18.10.26.1.2,,,,"Ensure 'Application: Specify the maximum log file size (KB)' -> 'Enabled: 32,768 or greater' (待翻譯)","18.10.26.1.2 (L1) Ensure 'Application: Specify the maximum log file size (KB)' -> 'Enabled: 32,768 or greater' (待翻譯)"
18.10.26.2.1,,,,Ensure 'Security: Control Event Log behavior when the log file reaches its maximum size' -> 'Disabled' (待翻譯),18.10.26.2.1 (L1) Ensure 'Security: Control Event Log behavior when the log file reaches its maximum size' -> 'Disabled' (待翻譯)
18.10.26.2.2,,,,"Ensure 'Security: Specify the maximum log file size (KB)' -> 'Enabled: 196,608 or greater' (待翻譯)","18.10.26.2.2 (L1) Ensure 'Security: Specify the maximum log file size (KB)' -> 'Enabled: 196,608 or greater' (待翻譯)"
18.10.26.3.1,,,,Ensure 'Setup: Control Event Log behavior when the log file reaches its maximum size' -> 'Disabled' (待翻譯),18.10.26.3.1 (L1) Ensure 'Setup: Control Event Log behavior when the log file reaches its maximum size' -> 'Disabled' (待翻譯)
18.10.26.3.2,,,,"Ensure 'Setup: Specify the maximum log file size (KB)' -> 'Enabled: 32,768 or greater' (待翻譯)","18.10.26.3.2 (L1) Ensure 'Setup: Specify the maximum log file size (KB)' -> 'Enabled: 32,768 or greater' (待翻譯)"
18.10.26.4.1,,,,Ensure 'System: Control Event Log behavior when the log file reaches its maximum size' -> 'Disabled' (待翻譯),18.10.26.4.1 (L1) Ensure 'System: Control Event Log behavior when the log file reaches its maximum size' -> 'Disabled' (待翻譯)
18.10.26.4.2,,,,"Ensure 'System: Specify the maximum log file size (KB)' -> 'Enabled: 32,768 or greater' (待翻譯)","18.10.26.4.2 (L1) Ensure 'System: Specify the maximum log file size (KB)' -> 'Enabled: 32,768 or greater' (待翻譯)"
18.10.29.2,,,,Ensure 'Do not apply the Mark of the Web tag to files copied from insecure sources' -> 'Disabled' (待翻譯),18.10.29.2 (L1) Ensure 'Do not apply the Mark of the Web tag to files copied from insecure sources' -> 'Disabled' (待翻譯)
18.10.29.3,,,,Ensure 'Turn off Data Execution Prevention for Explorer' -> 'Disabled' (待翻譯),18.10.29.3 (L1) Ensure 'Turn off Data Execution Prevention for Explorer' -> 'Disabled' (待翻譯)
18.10.29.4,,,,Ensure 'Turn off heap termination on corruption' -> 'Disabled' (待翻譯),18.10.29.4 (L1) Ensure 'Turn off heap termination on corruption' -> 'Disabled' (待翻譯)
18.10.29.5,,,,Ensure 'Turn off shell protocol protected mode' -> 'Disabled' (待翻譯),18.10.29.5 (L1) Ensure 'Turn off shell protocol protected mode' -> 'Disabled' (待翻譯)
18.10.37.1,,,,Ensure 'Turn off location' -> 'Enabled' (待翻譯),18.10.37.1 (L2) Ensure 'Turn off location' -> 'Enabled' (待翻譯)
18.10.41.1,,,,Ensure 'Allow Message Service Cloud Sync' -> 'Disabled' (待翻譯),18.10.41.1 (L2) Ensure 'Allow Message Service Cloud Sync' -> 'Disabled' (待翻譯)
18.10.42.1,,,,Ensure 'Block all consumer Microsoft account user authentication' -> 'Enabled' (待翻譯),18.10.42.1 (L1) Ensure 'Block all consumer Microsoft account user authentication' -> 'Enabled' (待翻譯)
18.10.43.4.1,,,,Ensure 'Enable EDR in block mode' -> 'Enabled' (待翻譯),18.10.43.4.1 (L1) Ensure 'Enable EDR in block mode' -> 'Enabled' (待翻譯)
18.10.43.5.1,,,,Ensure 'Configure local setting override for reporting to Microsoft MAPS' -> 'Disabled' (待翻譯),18.10.43.5.1 (L1) Ensure 'Configure local setting override for reporting to Microsoft MAPS' -> 'Disabled' (待翻譯)
18.10.43.5.2,,,,Ensure 'Join Microsoft MAPS' -> 'Disabled' (待翻譯),18.10.43.5.2 (L2) Ensure 'Join Microsoft MAPS' -> 'Disabled' (待翻譯)
18.10.43.6.1.1,,,,Ensure 'Configure Attack Surface Reduction rules' -> 'Enabled' (待翻譯),18.10.43.6.1.1 (L1) Ensure 'Configure Attack Surface Reduction rules' -> 'Enabled' (待翻譯)
18.10.43.6.1.2,,,,Ensure 'Configure Attack Surface Reduction rules: Set the state for each ASR rule' -> 'configured' (待翻譯),18.10.43.6.1.2 (L1) Ensure 'Configure Attack Surface Reduction rules: Set the state for each ASR rule' -> 'configured' (待翻譯)
18.10.43.6.3.1,,,,Ensure 'Prevent users and apps from accessing dangerous websites' -> 'Enabled: Block' (待翻譯),18.10.43.6.3.1 (L1) Ensure 'Prevent users and apps from accessing dangerous websites' -> 'Enabled: Block' (待翻譯)
18.10.43.7.1,,,,Ensure 'Enable file hash computation feature' -> 'Enabled' (待翻譯),18.10.43.7.1 (L1) Ensure 'Enable file hash computation feature' -> 'Enabled' (待翻譯)
18.10.43.8.1,,,,Ensure 'Convert warn verdict to block' -> 'Enabled' (待翻譯),18.10.43.8.1 (L2) Ensure 'Convert warn verdict to block' -> 'Enabled' (待翻譯)
18.10.43.10.1,,,,Ensure 'Configure real-time protection and Security Intelligence Updates during OOBE' -> 'Enabled' (待翻譯),18.10.43.10.1 (L1) Ensure 'Configure real-time protection and Security Intelligence Updates during OOBE' -> 'Enabled' (待翻譯)
18.10.43.10.2,,,,Ensure 'Scan all downloaded files and attachments' -> 'Enabled' (待翻譯),18.10.43.10.2 (L1) Ensure 'Scan all downloaded files and attachments' -> 'Enabled' (待翻譯)
